instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,comfort_index,is_weekend,quarter,is_warm_season,is_bad_weather,temp_yr
51,20-02-2018,1,0,2,0,2,1,1,11.693897,13.8665,40.7826,14.956745,639,1173,1812,11.489984,0,1,0,0,0.0
52,21-02-2018,1,0,2,1,3,0,2,12.436653,14.20375,60.5,20.625682,195,912,1107,12.134153,0,1,0,0,0.0
53,22-02-2018,1,0,2,0,4,1,1,7.471102,9.30165,57.7778,13.110761,74,1376,1450,7.182213,0,1,0,0,0.0
54,23-02-2018,1,0,2,0,5,1,1,9.091299,12.28585,42.3043,6.305571,139,1778,1917,8.8797775,0,1,0,0,0.0
55,24-02-2018,1,0,2,0,6,0,2,12.121732,14.45955,69.7391,16.783232,100,1707,1807,11.7730365,1,1,0,0,0.0
56,25-02-2018,1,0,2,0,0,0,2,14.938268,17.52305,71.2174,23.218113,120,1341,1461,14.582181,1,1,0,0,0.0
57,26-02-2018,1,0,2,0,1,1,1,11.5825,14.1096,53.7917,12.500257,424,1545,1969,11.3135415,0,1,0,0,0.0
58,27-02-2018,1,0,2,0,2,1,1,14.082598,17.55545,68.0,8.391616,694,1708,2402,13.742598000000001,0,1,0,0,0.0
59,28-02-2018,1,0,2,0,3,1,2,16.698193,20.0059,87.6364,19.408962,81,1365,1446,16.260011,0,1,0,0,0.0
60,01-03-2018,1,0,3,0,4,1,1,10.933347,13.19395,53.5,14.500475,137,1714,1851,10.665847,0,1,0,0,0.0
61,02-03-2018,1,0,3,0,5,1,1,13.735,16.00355,44.9583,20.624811,231,1903,2134,13.5102085,0,1,0,0,0.0
62,03-03-2018,1,0,3,0,6,0,1,8.131653,10.00665,31.8333,15.125518,123,1562,1685,7.9724865,1,1,0,0,0.0
63,04-03-2018,1,0,3,0,0,0,2,10.728347,12.78395,61.0417,13.624182,214,1730,1944,10.4231385,1,1,0,0,0.0
64,05-03-2018,1,0,3,0,1,1,2,15.750847,18.93895,78.9167,16.875357,640,1437,2077,15.3562635,0,1,0,0,0.0
65,06-03-2018,1,0,3,0,2,1,2,15.437402,18.3126,94.8261,23.000229,114,491,605,14.963271500000001,0,1,0,0,0.0
66,07-03-2018,1,0,3,0,3,1,1,10.731299,11.92305,55.1304,22.870584,244,1628,1872,10.455646999999999,0,1,0,0,0.0
67,08-03-2018,1,0,3,0,4,1,1,11.9925,15.12,42.0833,8.08355,316,1817,2133,11.782083499999999,0,1,0,0,0.0
68,09-03-2018,1,0,3,0,5,1,2,12.129153,14.3304,77.5417,14.75005,191,1700,1891,11.7414445,0,1,0,0,0.0
69,10-03-2018,1,0,3,0,6,0,3,15.952731,19.2834,0.0,17.545759,46,577,623,15.952731,1,1,0,1,0.0
70,11-03-2018,1,0,3,0,0,0,2,12.977402,15.25,64.9565,15.60899,247,1730,1977,12.6526195,1,1,0,0,0.0
71,12-03-2018,1,0,3,0,1,1,1,13.495847,16.2875,59.4583,14.791925,724,1408,2132,13.1985555,0,1,0,0,0.0
72,13-03-2018,1,0,3,0,2,1,1,15.758268,19.00455,52.7391,18.130468,982,1435,2417,15.494572499999999,0,1,0,0,0.0
73,14-03-2018,1,0,3,0,3,1,1,13.333897,16.6,49.6957,9.174042,359,1687,2046,13.085418500000001,0,1,0,0,0.0
74,15-03-2018,1,0,3,0,4,1,2,13.013031,15.9089,65.5652,12.348703,289,1767,2056,12.685205,0,1,0,0,0.0
75,16-03-2018,1,0,3,0,5,1,2,14.973897,18.3465,77.6522,13.608839,321,1871,2192,14.585636,0,1,0,0,0.0
76,17-03-2018,1,0,3,0,6,0,1,17.015,20.51665,60.2917,14.041793,424,2320,2744,16.7135415,1,1,0,0,0.0
77,18-03-2018,1,0,3,0,0,0,1,22.14,26.35045,52.5217,15.478139,884,2355,3239,21.8773915,1,1,0,0,0.0
78,19-03-2018,1,0,3,0,1,1,1,19.3725,23.32625,37.9167,24.667189,1424,1693,3117,19.182916499999997,0,1,0,0,0.0
79,20-03-2018,1,0,3,0,2,1,1,13.6325,16.2875,47.375,13.917307,1047,1424,2471,13.395625,0,1,0,0,0.0
80,21-03-2018,2,0,3,0,3,1,2,17.647835,20.48675,73.7391,19.348461,401,1676,2077,17.2791395,0,1,1,0,0.0
81,22-03-2018,2,0,3,0,4,1,1,18.108347,22.0321,62.4583,15.12525,460,2243,2703,17.796055499999998,0,1,1,0,0.0
82,23-03-2018,2,0,3,0,5,1,2,14.225237,16.89695,83.9565,15.695487,203,1918,2121,13.8054545,0,1,1,0,0.0
83,24-03-2018,2,0,3,0,6,0,2,11.685,13.54165,80.5833,16.333729,166,1699,1865,11.2820835,1,1,1,0,0.0
84,25-03-2018,2,0,3,0,0,0,1,10.830847,12.8156,49.5,15.458575,300,1910,2210,10.583347,1,1,1,0,0.0
85,26-03-2018,2,0,3,0,1,1,1,10.899153,12.87855,39.4167,14.041257,981,1515,2496,10.7020695,0,1,1,0,0.0
86,27-03-2018,2,0,3,0,2,1,2,10.374763,12.51695,49.3913,12.3481,472,1221,1693,10.1278065,0,1,1,0,0.0
87,28-03-2018,2,0,3,0,3,1,1,10.838268,12.8787,30.2174,14.217668,222,1806,2028,10.687180999999999,0,1,1,0,0.0
88,29-03-2018,2,0,3,0,4,1,1,12.4025,14.6454,31.4167,15.208732,317,2108,2425,12.2454165,0,1,1,0,0.0
89,30-03-2018,2,0,3,0,5,1,2,12.3,14.8675,64.6667,11.583496,168,1368,1536,11.9766665,0,1,1,0,0.0
90,31-03-2018,2,0,3,0,6,0,3,11.001653,12.87875,91.8333,14.582282,179,1506,1685,10.542486499999999,1,1,1,1,0.0
91,01-04-2018,2,0,4,0,0,0,2,12.3,14.1727,68.625,17.333436,307,1920,2227,11.956875,1,2,1,0,0.0
92,02-04-2018,2,0,4,0,1,1,2,12.915,15.78185,65.375,13.208782,898,1354,2252,12.588125,0,2,1,0,0.0
93,03-04-2018,2,0,4,0,2,1,1,15.511653,18.93835,48.0,12.208271,1651,1598,3249,15.271653,0,2,1,0,0.0
94,04-04-2018,2,0,4,0,3,1,1,23.506653,27.14645,42.625,25.833257,734,2381,3115,23.293528,0,2,1,0,0.0
95,05-04-2018,2,0,4,0,4,1,2,16.980847,19.9175,64.2083,26.000489,167,1628,1795,16.6598055,0,2,1,0,0.0
96,06-04-2018,2,0,4,0,5,1,1,16.024153,19.3804,47.0833,17.625221,413,2395,2808,15.788736499999999,0,2,1,0,0.0
97,07-04-2018,2,0,4,0,6,0,1,17.9375,21.6848,60.2917,10.874904,571,2570,3141,17.6360415,1,2,1,0,0.0
98,08-04-2018,2,0,4,0,0,0,2,13.769153,16.22395,83.625,15.208464,172,1299,1471,13.351028,1,2,1,0,0.0
99,09-04-2018,2,0,4,0,1,1,2,14.0425,17.07645,87.75,8.916561,879,1576,2455,13.60375,0,2,1,0,0.0
100,10-04-2018,2,0,4,0,2,1,2,17.493347,21.33685,85.75,9.833389,1188,1707,2895,17.064597,0,2,1,0,0.0
101,11-04-2018,2,0,4,0,3,1,2,24.421732,28.26085,71.6956,21.739758,855,2493,3348,24.063253999999997,0,2,1,0,0.0
102,12-04-2018,2,0,4,0,4,1,2,20.6025,24.6527,73.9167,18.416893,257,1777,2034,20.232916499999998,0,2,1,0,0.0
103,13-04-2018,2,0,4,0,5,1,2,16.9125,20.86415,81.9167,16.791339,209,1953,2162,16.5029165,0,2,1,0,0.0
104,14-04-2018,2,0,4,0,6,0,1,19.1675,23.1371,54.0417,7.4169,529,2738,3267,18.8972915,1,2,1,0,0.0
105,15-04-2018,2,0,4,1,0,0,1,18.313347,22.09565,67.125,15.167125,642,2484,3126,17.977722,1,2,1,0,0.0
106,16-04-2018,2,0,4,0,1,1,3,17.664153,21.2746,88.8333,22.834136,121,674,795,17.219986499999997,0,2,1,1,0.0
107,17-04-2018,2,0,4,0,2,1,1,18.723347,22.2848,47.9583,20.334232,1558,2186,3744,18.4835555,0,2,1,0,0.0
108,18-04-2018,2,0,4,0,3,1,1,21.0125,25.1573,54.25,10.958989,669,2760,3429,20.74125,0,2,1,0,0.0
109,19-04-2018,2,0,4,0,4,1,2,20.739153,24.4629,66.5833,10.584057,409,2795,3204,20.406236500000002,0,2,1,0,0.0
110,20-04-2018,2,0,4,0,5,1,1,24.395,28.2196,61.4167,16.208975,613,3331,3944,24.0879165,0,2,1,0,0.0
111,21-04-2018,2,0,4,0,6,0,1,18.825847,22.6946,40.7083,21.792286,745,3444,4189,18.6223055,1,2,1,0,0.0
112,22-04-2018,2,0,4,0,0,0,2,13.803347,16.0977,72.9583,14.707907,177,1506,1683,13.4385555,1,2,1,0,0.0
113,23-04-2018,2,0,4,0,1,1,2,18.86,22.50605,88.7917,15.458575,1462,2574,4036,18.4160415,0,2,1,0,0.0
114,24-04-2018,2,0,4,0,2,1,2,23.848347,27.58815,81.0833,12.875725,1710,2481,4191,23.4429305,0,2,1,0,0.0
115,25-04-2018,2,0,4,0,3,1,1,24.873347,28.725,77.6667,12.417311,773,3300,4073,24.485013499999997,0,2,1,0,0.0
116,26-04-2018,2,0,4,0,4,1,1,25.898347,29.70415,72.9167,21.8755,678,3722,4400,25.533763500000003,0,2,1,0,0.0
117,27-04-2018,2,0,4,0,5,1,2,25.42,28.7571,83.5417,20.9174,547,3325,3872,25.002291500000002,0,2,1,0,0.0
118,28-04-2018,2,0,4,0,6,0,2,25.3175,28.94645,70.0833,21.500836,569,3489,4058,24.967083499999998,1,2,1,0,0.0
119,29-04-2018,2,0,4,0,0,0,1,20.91,24.87315,45.7083,16.084221,878,3717,4595,20.6814585,1,2,1,0,0.0
120,30-04-2018,2,0,4,0,1,1,1,19.3725,23.20105,50.3333,15.750025,1965,3347,5312,19.1208335,0,2,1,0,0.0
121,01-05-2018,2,0,5,0,2,1,2,18.518347,22.4102,76.2083,7.125718,1138,2213,3351,18.1373055,0,2,1,0,0.0
122,02-05-2018,2,0,5,0,3,1,2,22.515847,26.64165,73.0,12.291418,847,3554,4401,22.150847000000002,0,2,1,0,0.0
123,03-05-2018,2,0,5,0,4,1,2,25.283347,29.10395,69.7083,22.958689,603,3848,4451,24.9348055,0,2,1,0,0.0
124,04-05-2018,2,0,5,0,5,1,2,16.980847,20.2325,73.7083,22.042732,255,2378,2633,16.6123055,0,2,1,0,0.0
125,05-05-2018,2,0,5,0,6,0,1,18.825847,22.09585,44.4167,19.791264,614,3819,4433,18.6037635,1,2,1,0,0.0
126,06-05-2018,2,0,5,0,0,0,1,19.645847,23.70585,59.0,15.292482,894,3714,4608,19.350846999999998,1,2,1,0,0.0
127,07-05-2018,2,0,5,0,1,1,1,21.32,25.63105,54.125,10.75015,1612,3102,4714,21.049375,0,2,1,0,0.0
128,08-05-2018,2,0,5,0,2,1,1,21.661653,25.94665,63.1667,5.0007125,1401,2932,4333,21.3458195,0,2,1,0,0.0
129,09-05-2018,2,0,5,0,3,1,1,21.8325,26.2623,58.875,11.792,664,3698,4362,21.538125,0,2,1,0,0.0
130,10-05-2018,2,0,5,0,4,1,1,21.8325,26.13605,48.9167,7.749957,694,4109,4803,21.5879165,0,2,1,0,0.0
131,11-05-2018,2,0,5,0,5,1,1,22.2425,26.42,63.2917,8.083014,550,3632,4182,21.9260415,0,2,1,0,0.0
132,12-05-2018,2,0,5,0,6,0,1,21.935,26.16815,74.75,12.707689,695,4169,4864,21.561249999999998,1,2,1,0,0.0
133,13-05-2018,2,0,5,0,0,0,2,21.0125,24.715,86.3333,12.041575,692,3413,4105,20.5808335,1,2,1,0,0.0
134,14-05-2018,2,0,5,0,1,1,2,21.354153,25.03145,92.25,9.04165,902,2507,3409,20.892903,0,2,1,0,0.0
135,15-05-2018,2,0,5,0,2,1,2,23.0625,26.8,86.7083,10.249593,1582,2971,4553,22.6289585,0,2,1,0,0.0
136,16-05-2018,2,0,5,0,3,1,1,23.6775,27.5256,78.7917,8.500357,773,3185,3958,23.2835415,0,2,1,0,0.0
137,17-05-2018,2,0,5,0,4,1,2,23.028347,26.92645,83.7917,18.582718,678,3445,4123,22.6093885,0,2,1,0,0.0
138,18-05-2018,2,0,5,0,5,1,2,22.55,26.3579,87.0,13.499964,536,3319,3855,22.115000000000002,0,2,1,0,0.0
139,19-05-2018,2,0,5,0,6,0,2,21.764153,25.5371,82.9583,7.250271,735,3840,4575,21.3493615,1,2,1,0,0.0
140,20-05-2018,2,0,5,0,0,0,1,22.003347,26.4521,71.9583,8.375871,909,4008,4917,21.6435555,1,2,1,0,0.0
141,21-05-2018,2,0,5,0,1,1,1,24.7025,28.59875,62.6667,8.08355,2258,3547,5805,24.3891665,0,2,1,0,0.0
142,22-05-2018,2,0,5,0,2,1,1,24.770847,28.725,74.9583,9.916536,1576,3084,4660,24.3960555,0,2,1,0,0.0
143,23-05-2018,2,0,5,0,3,1,2,25.898347,29.5148,81.0,15.667414,836,3438,4274,25.493347,0,2,1,0,0.0
144,24-05-2018,2,0,5,0,4,1,2,27.06,30.24065,74.0833,13.875164,659,3833,4492,26.689583499999998,0,2,1,0,0.0
145,25-05-2018,2,0,5,0,5,1,1,27.094153,30.7771,69.625,10.333611,740,4238,4978,26.746028,0,2,1,0,0.0
146,26-05-2018,2,0,5,0,6,0,1,29.041653,32.7344,67.75,13.376014,758,3919,4677,28.702903,1,2,1,0,0.0
147,27-05-2018,2,0,5,0,0,0,1,27.948347,31.8504,65.375,16.125493,871,3808,4679,27.621471999999997,1,2,1,0,0.0
148,28-05-2018,2,0,5,0,1,1,1,26.889153,30.61895,72.9583,15.416164,2001,2757,4758,26.5243615,0,2,1,0,0.0
149,29-05-2018,2,0,5,0,2,1,1,27.3675,30.7775,81.875,14.333846,2355,2433,4788,26.958125,0,2,1,0,0.0
150,30-05-2018,2,0,5,1,3,0,1,30.066653,33.5546,68.5,8.792075,1549,2549,4098,29.724152999999998,0,2,1,0,0.0
151,31-05-2018,2,0,5,0,4,1,1,31.775,36.26915,63.6667,7.459043,673,3309,3982,31.456666499999997,0,2,1,0,0.0
152,01-06-2018,2,0,6,0,5,1,2,31.330847,36.04835,67.7083,13.875164,513,3461,3974,30.992305499999997,0,2,1,0,0.0
153,02-06-2018,2,0,6,0,6,0,1,29.315,32.1971,30.5,19.583229,736,4232,4968,29.1625,1,2,1,0,0.0
154,03-06-2018,2,0,6,0,0,0,1,25.42,29.35665,35.4167,16.959107,898,4414,5312,25.242916500000003,1,2,1,0,0.0
155,04-06-2018,2,0,6,0,1,1,1,26.035,29.7348,45.625,8.250514,1869,3473,5342,25.806875,0,2,1,0,0.0
156,05-06-2018,2,0,6,0,2,1,2,26.581653,30.8402,65.25,9.292364,1685,3221,4906,26.255402999999998,0,2,1,0,0.0
157,06-06-2018,2,0,6,0,3,1,1,27.811653,31.0929,60.0,8.167032,673,3875,4548,27.511653,0,2,1,0,0.0
158,07-06-2018,2,0,6,0,4,1,1,29.0075,32.7975,59.7917,12.583136,763,4070,4833,28.7085415,0,2,1,0,0.0
159,08-06-2018,2,0,6,0,5,1,1,31.809153,36.36395,62.2083,9.166739,676,3725,4401,31.498111499999997,0,2,1,0,0.0
160,09-06-2018,2,0,6,0,6,0,2,33.141653,37.87895,56.8333,10.042161,563,3352,3915,32.8574865,1,2,1,0,0.0
161,10-06-2018,2,0,6,0,0,0,1,30.955,35.1646,60.5,9.417118,815,3771,4586,30.6525,1,2,1,0,0.0
162,11-06-2018,2,0,6,0,1,1,1,29.725,33.9019,65.4583,10.37495,1729,3237,4966,29.3977085,0,2,1,0,0.0
163,12-06-2018,2,0,6,0,2,1,1,28.3925,32.16625,74.7917,10.958989,1467,2993,4460,28.018541499999998,0,2,1,0,0.0
164,13-06-2018,2,0,6,0,3,1,1,26.035,30.0827,49.4583,20.45845,863,4157,5020,25.7877085,0,2,1,0,0.0
165,14-06-2018,2,0,6,0,4,1,1,24.770847,29.5773,50.7083,18.041961,727,4164,4891,24.5173055,0,2,1,0,0.0
166,15-06-2018,2,0,6,0,5,1,1,25.693347,29.3877,47.1667,11.250104,769,4411,5180,25.4575135,0,2,1,0,0.0
167,16-06-2018,2,0,6,0,6,0,2,25.761653,29.7673,68.8333,13.833557,545,3222,3767,25.4174865,1,2,1,0,0.0
168,17-06-2018,2,0,6,0,0,0,1,26.615847,30.01915,73.5833,9.582943,863,3981,4844,26.2479305,1,2,1,0,0.0
169,18-06-2018,2,0,6,0,1,1,1,28.563347,32.1977,67.0417,8.000336,1807,3312,5119,28.2281385,0,2,1,0,0.0
170,19-06-2018,2,0,6,0,2,1,2,28.665847,32.2923,66.6667,6.834,1639,3105,4744,28.3325135,0,2,1,0,0.0
171,20-06-2018,2,0,6,0,3,1,2,26.035,29.7673,74.625,10.416825,699,3311,4010,25.661875,0,2,1,0,0.0
172,21-06-2018,3,0,6,0,4,1,2,27.914153,31.8823,77.0417,11.458675,774,4061,4835,27.528944499999998,0,2,1,0,0.0
173,22-06-2018,3,0,6,0,5,1,1,30.066653,34.69145,70.75,11.541554,661,3846,4507,29.712902999999997,0,2,1,0,0.0
174,23-06-2018,3,0,6,0,6,0,2,29.861653,34.69165,70.3333,15.999868,746,4044,4790,29.5099865,1,2,1,0,0.0
175,24-06-2018,3,0,6,0,0,0,1,29.690847,32.82915,57.3333,14.875675,969,4022,4991,29.404180500000002,1,2,1,0,0.0
176,25-06-2018,3,0,6,0,1,1,1,28.495,32.16565,48.3333,14.041257,1782,3420,5202,28.2533335,0,2,1,0,0.0
177,26-06-2018,3,0,6,0,2,1,1,27.88,31.88145,51.3333,6.3337311,1920,3385,5305,27.623333499999998,0,2,1,0,0.0
178,27-06-2018,3,0,6,0,3,1,2,27.9825,31.8502,65.8333,7.208396,854,3854,4708,27.653333500000002,0,2,1,0,0.0
179,28-06-2018,3,0,6,0,4,1,1,30.510847,34.6279,63.4167,9.666961,732,3916,4648,30.1937635,0,2,1,0,0.0
180,29-06-2018,3,0,6,0,5,1,1,29.861653,32.7344,49.7917,17.542007,848,4377,5225,29.6126945,0,2,1,0,0.0
181,30-06-2018,3,0,6,0,6,0,1,28.563347,31.8504,43.4167,12.415904,1027,4488,5515,28.3462635,1,2,1,0,0.0
182,01-07-2018,3,0,7,0,0,0,1,29.6225,32.6081,39.625,6.874736,1246,4116,5362,29.424374999999998,1,3,1,0,0.0
183,02-07-2018,3,0,7,0,1,1,1,30.271653,33.3654,44.4583,7.709154,2204,2915,5119,30.0493615,0,3,1,0,0.0
184,03-07-2018,3,0,7,0,2,1,2,29.383347,33.42875,68.25,15.333486,2282,2367,4649,29.042097000000002,0,3,1,0,0.0
185,04-07-2018,3,0,7,1,3,0,2,29.793347,33.27085,63.7917,5.4591064,3065,2978,6043,29.4743885,0,3,1,0,0.0
186,05-07-2018,3,0,7,0,4,1,1,30.613347,34.8169,59.0417,8.459286,1031,3634,4665,30.3181385,0,3,1,0,0.0
187,06-07-2018,3,0,7,0,5,1,1,29.52,34.28165,74.3333,10.042161,784,3845,4629,29.1483335,0,3,1,0,0.0
188,07-07-2018,3,0,7,0,6,0,1,30.75,34.34355,65.125,10.6664,754,3838,4592,30.424375,1,3,1,0,0.0
189,08-07-2018,3,0,7,0,0,0,2,29.075847,33.52415,75.7917,15.083643,692,3348,4040,28.6968885,1,3,1,0,0.0
190,09-07-2018,3,0,7,0,1,1,1,30.066653,33.2079,60.9167,11.250104,1988,3348,5336,29.7620695,0,3,1,0,0.0
191,10-07-2018,3,0,7,0,2,1,1,30.6475,34.50125,57.8333,12.292557,1743,3138,4881,30.3583335,0,3,1,0,0.0
192,11-07-2018,3,0,7,0,3,1,1,31.2625,36.4902,63.5833,18.916579,723,3363,4086,30.9445835,0,3,1,0,0.0
193,12-07-2018,3,0,7,0,4,1,1,32.560847,36.96375,55.9167,13.417018,662,3596,4258,32.2812635,0,3,1,0,0.0
194,13-07-2018,3,0,7,0,5,1,1,30.613347,34.4702,63.1667,9.790911,748,3594,4342,30.2975135,0,3,1,0,0.0
195,14-07-2018,3,0,7,0,6,0,1,27.914153,31.7552,47.625,16.124689,888,4196,5084,27.676028,1,3,1,0,0.0
196,15-07-2018,3,0,7,0,0,0,1,27.196653,31.21855,59.125,12.249811,1318,4220,5538,26.901028,1,3,1,0,0.0
197,16-07-2018,3,0,7,0,1,1,1,28.153347,31.91315,58.5,13.958914,2418,3505,5923,27.860847,0,3,1,0,0.0
198,17-07-2018,3,0,7,0,2,1,1,29.485847,33.49165,60.4167,16.417211,2006,3296,5302,29.1837635,0,3,1,0,0.0
199,18-07-2018,3,0,7,0,3,1,1,30.613347,35.19625,65.125,14.458868,841,3617,4458,30.287722000000002,0,3,1,0,0.0
200,19-07-2018,3,0,7,0,4,1,1,31.843347,37.37395,65.0417,8.7502,752,3789,4541,31.518138500000003,0,3,1,0,0.0
